002150,도화엔지니어링,KP,KR,건설,
002170,삼양통상,KP,KR,섬유의류,
002200,한국수출포장,KP,KR,종이와목재,
002210,동성제약,KP,KR,제약바이오,
002220,한일철강,KP,KR,철강과금속,
002230,피에스텍,KD,KR,전자부품제조업,
002240,고려제강,KP,KR,철강과금속,
002270,롯데푸드,KP,KR,음식료,
002290,삼일기업공사,KD,KR,건설,
002300,한국제지,KP,KR,,
002310,아세아제지,KP,KR,종이와목재,
002320,한진,KP,KR,화물운송과물류,
002350,넥센타이어,KP,KR,자동차부품,
002355,넥센타이어1우B,KP,KR,,우선주
002360,SH에너지화학,KP,KR,화학,
002380,KCC,KP,KR,건축자재,
002390,한독,KP,KR,제약바이오,
002410,범양건영,KP,KR,건설,
002420,세기상사,KP,KR,오락과문화,
002450,삼익악기,KP,KR,,
002460,화성산업,KP,KR,건설,
002600,조흥,KP,KR,음식료,
002620,제일파마홀딩스,KP,KR,제약바이오,
002630,오리엔트바이오,KP,KR,자동차부품,
002680,한탑,KD,KR,음식료,
002690,동일제강,KP,KR,철강과금속,
002700,신일전자,KP,KR,가정용기기,
002710,TCC스틸,KP,KR,철강과금속,
002720,국제약품,KP,KR,제약바이오,
002760,보락,KP,KR,음식료,
002780,진흥기업,KP,KR,건설,
002785,진흥기업우B,KP,KR,,우선주
002787,진흥기업2우B,KP,KR,,우선주
002790,아모레G,KP,KR,화장품,
002795,아모레G우,KP,KR,,우선주
00279K,아모레G3우(전환),KP,KR,,
002800,신신제약,KD,KR,제약바이오,
002810,삼영무역,KP,KR,유통,
002820,선창산업,KP,KR,종이와목재,
002840,미원상사,KP,KR,화학,
002870,신풍제지,KP,KR,종이와목재,
002880,대유에이텍,KP,KR,자동차부품,
002900,동양물산,KP,KR,기계와장비,
002920,유성기업,KP,KR,자동차부품,
002960,한국쉘석유,KP,KR,화학,
002990,금호산업,KP,KR,건설,
002995,금호산업우,KP,KR,,우선주
003000,부광약품,KP,KR,제약바이오,
003010,혜인,KP,KR,유통,
003030,세아제강지주,KP,KR,금융,
003060,에이프로젠제약,KP,KR,제약바이오,
